"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",296.95,6.7286,0.861640198523038,9.27127878480152,0.725171495107867,0.820248791392584,53.018,26,0,4,"Beattie",3,76.9230769230769,19.2307692307692,3.84615384615385,0,0,0,101,2,29,27,4
"2",284.8,6.6673,0.894715774271907,11.9806576659695,0.904543772697386,0.939038056565594,66.606,133,0,10,"Buffel",3,9.02255639097744,12.781954887218,78.1954887218045,0,0,0,801,0,103,37,0
"3",292.3,5.9213,0.873692497995135,12.2146391545569,0.914412012202164,0.939539320781956,57.976,93,7.75,20,"Callytharra",3,46.2365591397849,6.45161290322581,47.3118279569892,0,0,0,801,0,53,23,51
"4",284.8,3.9363,0.89902037494387,12.3752280551119,0.834719530300869,0.891182729510003,35.996,40,0,8,"Cattle Creek",3,12.5,35,52.5,0,0,0,801,0,38,13,0
"5",295.448863636364,9.5782,0.818841315372867,5.89446427097234,0.703930954232666,0.801223170221455,50.542,44,9.69999999999999,8,"Copacabana",3,22.7272727272727,70.4545454545455,6.81818181818182,0,0,0,201,0,60,14,1
"6",291.083783783784,1.9698,0.962459946721081,31.5216296647785,0.970093443457128,0.977678446115288,29.732,37,7.75,3,"Echii",1,100,0,0,0,0,0,401,0,44,2,0
"7",300.223026315789,6.0163,0.886960738125347,10.5136492849724,0.85997333010028,0.915413055022065,51.998,152,1.94999999999999,7,"Foraker",4,69.7368421052632,23.0263157894737,5.92105263157895,0,1.31578947368421,0,101,1,96,33,7
"8",301.15,10.4222,0.881023568395792,9.67642454182752,0.86218344978277,0.918856368939392,90.232,41,0,2,"Gaptank",2,90.2439024390244,0,0,9.75609756097561,0,0,101,1,109,11,0
"9",299.2,9.2445,0.831989329205938,6.90695246639028,0.764572181540203,0.854935654300911,56.226,46,0,2,"Graham",1,100,0,0,0,0,0,101,0,53,19,2
"10",296.95,3.9434,0.932019767222922,15.6424331150051,0.92600186781435,0.954714227294893,45.588,76,0,3,"Grenola",3,81.5789473684211,11.8421052631579,6.57894736842105,0,0,0,101,0,54,35,0
"11",289.038461538462,6.3108,0.923277352866241,16.5463072734101,0.935304312667996,0.954156697078677,85.902,78,12.15,10,"Hueco",3,46.1538461538462,0,52.5641025641026,1.28205128205128,0,0,101,0,96,94,0
"12",300.491666666667,5.3887,0.881042092630635,10.7312724694542,0.852900475611441,0.910181770674986,46.656,36,1.5,2,"Janesville Shale",3,86.1111111111111,5.55555555555556,8.33333333333333,0,0,0,101,0,40,22,0
"13",291.063141025641,6.1274,0.905294173343397,12.2833817136841,0.90835853005087,0.946316963120679,61.734,78,20.375,5,"Jungle Creek",1,100,0,0,0,0,0,123,2,101,10,0
"14",284.8,4.5497,0.910236254520369,10.509737242347,0.894195662211885,0.931244643952539,37.124,32,0,1,"Keziliqiman",1,100,0,0,0,0,0,601,0,40,0,0
"15",287.9,8.3298,0.896096116441956,12.0010154070441,0.903833275599372,0.943776035458261,87.354,30,7.75,4,"Lenox Hills",3,73.3333333333333,0,0,20,0,6.66666666666667,101,3,102,3,0
"16",297.243023255814,17.3434,0.831950468042334,9.42021507776943,0.907669136173921,0.943880485330047,150.068,43,4.19999999999999,3,"Neal Ranch",3,60.4651162790698,0,11.6279069767442,27.906976744186,0,0,101,1,177,31,1
"17",293.079166666667,2.1185,0.947512845772043,23.8107100291073,0.939537493734336,0.957411052631579,26.58,24,4.39999999999998,1,"Ol'chan",1,100,0,0,0,0,0,401,0,30,0,0
"18",297.215,5.3198,0.898159527258975,11.9500009818171,0.895113445323205,0.936693598507335,51.296,30,4.19999999999999,4,"Red Eagle",3,56.6666666666667,33.3333333333333,10,0,0,0,101,0,54,8,4
"19",292.55,3.802,0.874713546648228,9.8548751698245,0.832191626986976,0.88431795298269,27.282,39,0,6,"Saiwan",3,7.69230769230769,0,84.6153846153846,0,7.69230769230769,0,503,2,17,6,9
"20",284.8,13.0949,0.870419586600948,9.69709794322265,0.876077295830076,0.928944436197604,116.134,50,0,3,"Skinner Ranch",4,14,0,4,22,0,60,101,4,161,13,0
"21",300.588888888889,4.983,0.922869896921819,13.7690288044347,0.924160545019046,0.955515773070556,54.606,27,1.5,3,"Stotler",2,92.5925925925926,0,7.40740740740741,0,0,0,101,0,34,28,2
"22",284.8,4.227,0.885596408277168,11.3930276573371,0.840705156776488,0.895768116298906,37.164,44,0,9,"Tiverton",3,63.6363636363636,4.54545454545455,31.8181818181818,0,0,0,801,0,42,20,0
"23",304.66640625,4.3437,0.819711437655621,6.29125269115363,0.692984843439652,0.795266746185395,20.838,64,0.525000000000034,2,"Winchell",1,0,0,0,0,100,0,101,0,24,2,3
"24",300.561111111111,5.7408,0.873916136453828,9.22164221834442,0.814742346718404,0.884034915261989,43.264,54,1.5,2,"Wood Siding",3,90.7407407407407,1.85185185185185,7.40740740740741,0,0,0,101,0,47,19,0
