formation.name;Period;Age;AlphaForm;BetaSimForm;BetaWForm;GammaForm;CollpF;Duration;RefForm;Environments;Htaxa;maxGCD;medianGCD;madGCD
Nevian;Jurassic;186.3;2.6683;0.864718599;11.2437817;18.356;63;0;1;1;1;0;0;0
Ninemile;Ordovician;475.9367347;4.6078;0.94491749;17.12019477;61.59;49;7.75;7;4;4;345.4450902;142.1008733;78.86555052
Niobrara;Cretaceous;86.775;3.3989;0.921257954;14.16075259;33.71;38;14.05;7;3;1;1037.981858;344.9119432;300.1467484
Nora;Ordovician;470.0714286;3.6093;0.888783588;11.13929204;28.998;28;7.8;3;2;2;426.1758785;178.2537254;206.7613676
Nyalindung;Neogene;13.74438462;10.9562;0.893639381;13.00211108;130.924;26;1.16;3;2;1;331.4816784;110.4940595;163.8183073
OgonOr;Cambrian;493.908;6.6497;0.910271244;9.937866082;56.08;25;6.35;1;1;1;NA;NA;NA
Olazagutia;Cretaceous;85.80517241;2.5162;0.893663938;10.24938449;15.516;29;2.2;1;1;2;0;0;0
Ol'chan;Permian;293.0791667;2.1185;0.947512846;23.81071003;26.58;24;4.4;1;1;1;819.9329341;337.5943047;327.6441771
Onondaga;Devonian;390;11.2167;0.860511601;8.586706318;86.91;66;0;6;4;4;611.9459397;325.6377337;188.7434137
Opalinuston;Jurassic;173.6;3.1527;0.742897161;6.661408261;14.186;125;0;2;1;3;400.5605227;134.3454917;199.1804851
Oregonia;Ordovician;446.6;6.6865;0.811602408;6.033077955;35.298;35;0;1;1;4;140.6101347;86.51446231;80.20224385
Outram;Ordovician;483.45;3.1378;0.87790657;9.427798324;20.076;36;0;1;2;1;0;0;0
Overton;Silurian;420;9.3588;0.73716996;4.590948359;38.326;28;0;1;1;3;0;0;0
Oxtrack;Permian;270.25;3.9741;0.846682051;7.329852592;21.702;25;0;7;3;2;111.3238716;55.66193578;82.52438599
Padrinas;Jurassic;181.2558442;3.0117;0.88237213;10.08539132;19.902;77;4.65;1;2;1;248.1765818;82.72928896;122.6502613
Pamlico;Neogene;0.069;21.316;0.774370687;8.204263468;165.462;32;0;3;2;2;949.7030204;333.9716147;282.3206829
Pamucak;Permian;260.975;3.2727;0.894886165;11.77682248;26.558;28;8.85;2;2;2;0;0;0
Park City;Permian;269;6.6984;0.937251261;16.6607213;93.524;38;9.5;7;2;3;795.7505625;277.3771502;169.8270033
Peawaddy;Permian;262;2.4836;0.638811142;8.597871881;13.512;30;0;6;3;2;150.5134884;100.893463;73.56664967
Peedee;Cretaceous;68.3215;18.9897;0.843063252;8.803143754;157.02;32;0;5;3;2;240.5944561;138.4358599;138.1564364
Phosphoria;Permian;270.1013514;7.036;0.900097241;14.21077891;84.708;37;9.5;6;2;2;795.7505625;277.3771502;203.8360257
Piedra Pintada;Jurassic;186.3;7.449;0.846116083;7.855050445;50.426;25;0;2;2;2;0.000134414;0.000134414;0
Pierre Shale;Cretaceous;75.20580159;5.1386;0.93690652;17.52257093;72.438;63;9.4285;5;3;3;691.2409894;334.5554419;392.720735
Pilton;Devonian;361.2615385;7.856;0.956569113;17.28104983;118.548;26;15.4;3;2;4;0.000134414;0.000134414;0
Pirabas;Neogene;19.5;34.8899;0.812128087;11.43719061;381.556;25;0;5;2;2;746.5099536;248.8569669;226.0527778
Pisco;Neogene;5.770782609;2.6841;0.923065418;18.67600297;30.914;46;5.376;12;1;2;247.2516963;111.3238716;64.15833611
Pittsburg;Paleogene;28.60234375;9.7469;0.764698727;5.300601727;45.854;32;5.435;1;2;1;135.9435522;77.33155132;86.89815249
Porters Creek;Paleogene;61.44756364;9.9207;0.856590755;10.36283793;90.656;55;3.6715;7;3;2;955.3451109;346.6267217;513.9087776
Prairie Bluff;Cretaceous;68.3215;28.6083;0.835664995;7.483459922;205.072;113;0;5;2;3;434.7983922;167.2209711;109.4530251
Providence;Cretaceous;68.3215;31.1458;0.847580849;7.205282805;216.016;103;0;3;1;2;94.40766084;47.20383042;69.98439898
Puchenque;Jurassic;186.5596154;5.1391;0.865912462;8.729855061;36.066;26;6.75;2;1;2;9.50E-05;9.50E-05;0
Puerto Madryn;Neogene;8.640133333;3.6709;0.855828516;10.73057892;28.578;45;0.957;3;2;2;469.6478217;137.5249624;203.8945092
Qingyan;Triassic;244.5469697;26.531;0.775601246;7.66029583;188.552;66;3.5;8;3;3;318.9291991;124.7248208;153.4701295
Qixia;Permian;276;4.6313;0.972198005;21.79504133;78.35;34;0;16;2;2;1573.754926;668.8960378;560.7801976
Rabbitkettle;Cambrian;494.9837838;9.9654;0.952520708;14.67343041;131.476;37;12.35;3;1;1;295.9927911;161.0085062;160.0222387
Rat Buri;Permian;270.2016129;17.424;0.855589693;6.949565795;113.538;31;1.5;5;3;2;786.9067259;155.2748059;230.2104273
Red Eagle;Permian;297.215;5.3198;0.898159527;11.95000098;51.296;30;4.2;4;3;3;345.1410582;125.9670031;57.59571718
Rio Banano;Neogene;2.9;18.069;0.876518491;11.93258324;201.672;26;0;6;2;1;9.50E-05;9.50E-05;0
Rio Palomar;Jurassic;186.3;3.4521;0.828786823;7.189054168;17.508;37;0;2;1;2;0;0;0
Ripley;Cretaceous;68.5572125;31.0763;0.806789279;10.61145247;324.456;40;9.4285;5;2;3;517.1092836;201.7127107;223.1109585
Road Canyon;Permian;271.4466667;31.3146;0.83737745;9.396426827;280;75;5.75;4;4;4;0;0;0
Roca;Cretaceous;68.3215;9.3932;0.821265486;6.42531716;53.13;48;0;6;3;1;333.9716147;209.7751357;129.7615614
Rochester;Silurian;426.0095238;18.1024;0.875852362;8.505987347;145.736;42;7.75;6;3;4;244.2383975;81.4166449;120.7040418
Rorrington Beds;Ordovician;462.2;3.3374;0.743875032;5.402887294;12.576;29;0;1;1;1;0;0;0
Ross Brook;Silurian;435.95;4.0879;0.856324709;6.777589893;20.84;37;0;1;1;3;0;0;0
Ross Point;Silurian;435.95;5.9844;0.812095943;10.18798743;55.246;30;0;1;1;4;0;0;0
Saint-Cenere;Devonian;410.9837209;4.3666;0.87152046;8.30422824;27.854;43;3.45;2;1;3;74.48968754;37.24491098;55.21910573
Saiwan;Permian;292.55;3.802;0.874713547;9.85487517;27.282;39;0;6;3;4;152.5307855;76.26544026;113.0710008
San Emigdio;Paleogene;35.55;7.7797;0.82949488;6.383685913;42.97;27;0;2;2;1;91.19079618;45.5954653;67.59963757
Santee;Paleogene;40.12777778;14.5793;0.860571314;10.99073299;147.796;27;8.95;8;4;3;289.1950287;111.3238716;49.85203927
Sappington;Devonian;358.2872093;5.0425;0.883597788;9.495080161;38.16;43;11.15;6;5;3;667.9432294;135.9435522;88.98768284
Sawtooth;Jurassic;167.0722222;4.2054;0.900479382;11.3576767;36.296;27;3.45;1;1;2;111.3238716;55.66200299;82.52428635
Scotch Grove;Silurian;429.534;15.2827;0.87198782;8.494578058;120.966;25;7.75;2;1;4;628.6155555;124.0925229;183.9795745
Second Abden Shale;Carboniferous;331.2;5.5795;0.839510852;6.324734852;28.628;117;0;1;1;3;0;0;0
Senja;Permian;253.15;4.9911;0.901388915;14.02944601;54.594;135;0;8;2;2;147.5818965;104.3448165;37.93447195
Shallow Bay;Cambrian;503.0547619;5.2592;0.933010886;16.64602295;70.244;84;13.6;5;4;2;729.8217323;182.4765352;270.5397111
Shell Rock;Devonian;380.026;5.6089;0.886306591;11.73964681;53.632;25;3.15;3;2;2;372.1026403;138.6949687;175.7243728
Shenjiawan;Cambrian;493.4;5.9167;0.928286383;14.64833894;71.856;32;0;3;2;1;445.2954863;222.6477431;330.097544
Shoal River;Neogene;12.4;45.0342;0.830590908;8.958790051;398.356;37;0;5;2;2;95.42286122;47.71143061;70.73696702
Shuqra;Jurassic;162.95;13.7186;0.851271497;8.609413753;108.942;25;0;1;1;3;108.0169966;54.00854581;80.0729291
Silica;Devonian;385.9;19.328;0.833751091;6.802777263;124.13;27;0;1;1;4;82.72928896;41.36464448;61.32722191
Sisquoc;Neogene;7.604;5.5231;0.801644958;6.480482672;29.13;28;0;1;1;2;0.000134414;0.000134414;0
Skaneateles;Devonian;386.0701493;9.5933;0.891962852;9.828383001;83.468;134;1.9;8;4;4;244.2383975;81.4166449;120.7040418
Skinner Ranch;Permian;284.8;13.0949;0.870419587;9.697097943;116.134;50;0;3;4;3;0;0;0
Slade and Redhill Mudstone;Ordovician;450.7;4.799;0.849994074;8.969368002;33.756;26;0;1;1;1;0;0;0
Sly Gap;Devonian;379.9;3.1798;0.799538266;5.607566395;12.064;29;0;2;1;1;280.0826712;93.36370308;138.4178989
Smithville;Ordovician;473.4304348;10.0901;0.855614069;7.311173682;66.372;23;1.85;3;1;3;522.5416624;142.8305966;211.7606426
Sobral_Jurassic;Jurassic;151.2629032;6.4804;0.844495732;6.966019534;38.028;31;5.1;2;2;3;NA;NA;NA
Sobral_Paleogene;Paleogene;63.7793125;5.8135;0.844312803;8.247706093;39.64;32;2.95;4;3;1;NA;NA;NA
Solvik;Silurian;438.3651515;9.0137;0.866670871;8.447862554;67.41;33;5.4;6;2;4;55.66140592;27.83070296;41.26180021
Stotler;Carboniferous;300.5888889;4.983;0.922869897;13.7690288;54.606;27;1.5;3;2;3;453.6119477;142.1008733;144.1099429
Sunblood;Ordovician;465.4173077;3.5022;0.926771899;14.02697078;35.056;26;5.25;5;2;2;228.6923806;122.6151561;101.7727749
Sunset;Ordovician;446.6;5.1853;0.807995193;4.68361869;19.548;59;0;1;2;4;222.6477431;111.3238716;43.97603907
Survey Peak;Ordovician;483.45;2.3323;0.922589026;15.02765975;20.06;30;0;2;3;1;175.3850208;87.69251038;130.0129159
Suwannee Limestone;Paleogene;31.15;12.1958;0.8958575;14.0981954;158.146;25;0;6;2;2;511.5290252;148.2020593;111.602589
Szin Marl;Triassic;249.25;2.9509;0.845986757;7.178501712;13.954;25;0;1;2;3;9.50E-05;9.50E-05;0
Tachilni;Neogene;9.427;7.7474;0.858836544;9.569001768;63.846;31;0;1;1;1;127.7011484;63.85220572;94.66244244
Takhandit;Permian;267.8095238;5.9711;0.903051271;11.12493708;54.816;63;3.75;3;1;1;426.7870564;47.0470106;69.75189792
Talata;Permian;276;3.3095;0.956628596;22.45671015;51.58;25;0;5;1;2;510.2492356;173.5410186;252.3521013
Tallahatta;Paleogene;47.684;10.4393;0.862749738;9.889162393;92.768;25;5.2;4;1;2;305.7294005;111.3238716;117.8962379
Tamiami;Neogene;3.348611111;10.9312;0.950821975;17.76331266;176.912;72;1.372;15;4;2;318.9291991;149.3926526;74.43039879
Tataouine;Jurassic;161.2262376;11.1047;0.894167443;10.19427333;102.144;101;5.2;5;4;3;145.6286397;94.40766084;75.94022329
Temblor;Neogene;17.03213462;8.1228;0.904562014;11.73503529;83.278;52;11.926;3;2;2;142.8305966;71.41534584;105.8802508
Thaynes;Triassic;249.2616279;3.7571;0.912936437;13.60001699;37.18;43;0.5;13;3;3;1087.085708;333.9716147;201.0992257
Three Forks;Devonian;368.2144068;6.7109;0.917787102;11.75429324;66.922;59;5.7;4;3;2;191.6837001;123.6337119;59.37826416
Tindall Limestone;Cambrian;507;4.1163;0.750733269;3.987611834;12.39;27;0;1;1;2;155.2748059;108.0169966;70.06442813
Tiverton;Permian;284.8;4.227;0.885596408;11.39302766;37.164;44;0;9;3;2;235.1683877;111.3238716;60.38886153
Tonoloway;Devonian;419.0482143;4.0039;0.886761929;9.123369488;27.306;28;3.45;4;4;3;204.7069057;98.30122877;84.92493332
Toukoshan;Neogene;1.6845;11.5055;0.813037309;7.400751658;77.156;28;0;1;1;1;0;0;0
Triangle;Devonian;379.9;6.6019;0.830790798;6.67658661;37.072;60;0;1;2;2;82.72928896;41.36464448;61.32722191
Tropic Shale;Cretaceous;97;7.6077;0.790252144;5.047248435;33.314;31;0;2;2;1;88.90678824;44.45339412;65.90660212
Tubar ;Neogene;5.271583333;9.7215;0.896762254;14.7304861;125.902;48;5.376;5;1;1;NA;NA;NA
Tully;Devonian;385.9;8.512;0.880041389;11.20405043;82.77;76;0;7;2;3;270.2042414;111.3238716;76.36358751
Turmiel;Jurassic;179.9532609;4.7252;0.897827164;13.14250889;54.152;46;4.65;3;3;2;111.3238716;55.66200299;82.52428635
Tuscahoma;Paleogene;57.25;16.4641;0.793342055;8.059378;123.426;35;0;6;3;1;861.234795;188.8133025;279.9344031
Tuwaiq;Jurassic;162.95;7.0169;0.909839735;14.15081537;84.138;48;0;4;4;3;805.5217238;299.3494061;233.8730313
Twin Creek;Jurassic;169.3532258;4.3449;0.889377513;11.14165871;36.586;93;3.45;3;2;3;554.6375944;222.6477431;165.048772
Ulakhan-Krest;Triassic;243.5986842;3.5773;0.927277928;15.71896907;40.228;38;10.75;3;1;2;289.741892;130.1676217;141.984226
upper part;Devonian;397.168;3.6419;0.495871574;2.941532673;7.762;25;7.4;1;1;1;162.8304057;81.4166449;120.7040418
Uzunbulak;Ordovician;463.45;7.7094;0.850329248;7.046823798;47.264;24;0;2;2;2;0;0;0
Valcour;Ordovician;462.382;6.4115;0.880782426;10.62271821;57.41;50;2.9;8;2;4;954.2743385;111.3238716;165.048772
Vaqueros;Neogene;20.8322;13.6699;0.854916372;8.274472378;104.526;25;6.215;5;2;3;296.8787171;111.3238716;108.6101497
Vaureal;Ordovician;450.1487395;2.678;0.87697558;14.17294935;24.008;119;4.1;5;2;4;243.7726094;111.3238716;58.95825656
Volkhov;Ordovician;470.75;6.3857;0.865924283;6.834705813;36.358;62;5.25;4;3;2;166.9715005;55.66140592;82.51888686
Waccamaw;Neogene;1.66912;31.4076;0.871008585;10.8900201;330.006;25;0.3845;6;2;2;296.8787171;144.9486114;103.2831163
Wah Wah;Ordovician;473.1484848;4.8437;0.90119125;12.02571093;45.918;33;15.4;6;3;3;280.4490281;139.8506216;79.07618979
Waita;Paleogene;31.15;4.2803;0.828220736;7.20774792;23.532;28;0;1;2;2;0;0;0
Wandagee;Permian;276;2.1583;0.948574352;25.72471758;29.226;38;0;20;2;3;150.5134884;101.6992036;72.37205852
Wargal;Permian;256.9714286;15.69;0.826226318;11.00548144;156.034;245;5.5;15;3;3;218.291123;111.3238716;50.86024927
Warrior;Cambrian;494.65;5.2851;0.867390252;9.652278549;41.288;22;0;1;2;2;111.3238716;55.66198331;82.52431554
Wata;Cretaceous;91.8;4.7274;0.90341879;12.38805737;46.078;26;0;4;2;2;194.72978;147.5818965;69.90145203
Watahomigi;Carboniferous;316.1925;6.4686;0.880799263;9.590736561;52.248;30;1.575;1;2;3;90.06250904;45.03125452;66.76333795
Waterways;Devonian;379.9;12.5727;0.473315303;1.906476242;22.052;24;0;2;1;2;0;0;0
Waynesville;Ordovician;446.6325806;6.2842;0.881879826;9.28465023;49.86;155;4.1;10;2;4;1393.248372;600.7925879;423.3007903
Wegener Halvo;Permian;256.5;4.5974;0.889899355;11.42387277;40.04;93;0;3;2;2;373.2787153;129.9240738;144.37775
Werfen;Triassic;250.9199346;4.1969;0.901861879;12.12616664;38.44;153;2.55;12;4;3;135.1461528;77.33155132;85.71592811
Wheeler;Cambrian;507.0277778;5.0266;0.869835174;11.53220579;46.648;27;3.25;6;4;3;204.7069057;98.91916694;61.81102876
White Head;Silurian;442.4449275;5.4191;0.958895937;18.52853359;81.608;69;10.65;9;3;4;687.6418035;315.3155622;302.4380805
Whitewater;Ordovician;446.6;5.4605;0.842307861;8.894691816;42.116;73;0;5;2;4;905.7455736;140.9853036;177.0592523
Whittaker;Silurian;433.790625;9.2673;0.925714341;13.11878837;107.982;32;19.1;5;3;2;244.4899307;130.2580888;92.69911998
Wills Point;Paleogene;62.409;5.9468;0.92770953;15.68875574;76.436;40;1.5;3;3;2;586.377358;222.2209401;164.4159938
Wilson Bluff;Paleogene;35.55;3.8185;0.860464575;8.830213536;24.636;29;0;2;2;3;482.4123046;188.8133025;139.9658044
Winchell;Carboniferous;304.6664063;4.3437;0.819711438;6.291252691;20.838;64;0.525;2;1;3;145.6286397;72.81431986;107.9545106
Woodbine;Cretaceous;97;8.8275;0.904658408;12.42458399;95.982;142;0;1;1;2;290.5689826;111.3238716;155.8941907
Wood Siding;Carboniferous;300.5611111;5.7408;0.873916136;9.221642218;43.264;54;1.5;2;3;2;345.1410582;140.9853036;121.0727329
Word;Permian;268.6181319;22.8532;0.841162635;9.602930514;205.806;91;3.75;8;3;4;0;0;0
Wordie Creek;Triassic;251.8;2.6784;0.867894896;10.77156858;18.094;78;0;4;3;2;340.5689241;116.7897725;170.7175612
Yanshi;Permian;253.15;4.6694;0.943648134;16.70405276;61.126;36;0;5;1;2;111.3238716;55.66193578;82.52438599
Yazoo;Paleogene;35.55;9.8216;0.904040751;13.40872747;117.75;36;0;6;3;3;581.0442772;305.7294005;246.5096827
Yorktown;Neogene;3.753970588;14.6932;0.872121669;11.77553124;158.114;68;1.556;17;4;3;454.3025552;177.8111241;98.57400053
Yujiang;Devonian;405.2564103;7.9305;0.886326566;9.641416165;66.276;39;5.3;4;4;2;1073.543963;238.6620191;214.1974444
Zhitai;Ordovician;472.8055556;4.6067;0.854235753;10.52593453;37.502;27;1.05;2;2;2;223.4769743;111.3238716;165.0485727
Zhumabai;Cambrian;497.6538462;13.1841;0.929372537;12.67597315;153.4;104;9.6;3;2;2;0;0;0
