formation.name;Period;Age;AlphaForm;BetaSimForm;BetaWForm;GammaForm;CollpF;Duration;RefForm;Environments;Htaxa;maxGCD;medianGCD;madGCD
Cape Stewart;Jurassic;186.3;19.0661;0.771397252;6.468506272;116.35;27;0;3;1;2;38.07457978;19.03733741;28.22461553
Capitan;Permian;262;11.5091;0.858776175;10.70148906;112.34;36;0;6;4;3;293.2331272;94.40766084;139.968798
Carmel;Jurassic;168.15;4.6866;0.901355972;11.1049445;40.508;123;0;1;1;1;415.5078875;142.1008733;95.86909184
Carrara;Cambrian;516.1533333;4.0446;0.944214591;17.37946939;52.622;75;20.5;2;4;1;486.0491289;111.3238716;165.0485727
Cassian;Triassic;232.978;18.4715;0.928129415;16.62808953;285.146;125;10.25;23;5;3;135.1461528;75.92218241;87.80545845
Castilletes;Neogene;15.65027778;11.2085;0.829342817;8.593277357;86.116;108;3.4;2;3;2;9.50E-05;9.50E-05;0
Castle Hayne;Paleogene;40.2440678;7.4908;0.8846572;13.64495805;86.688;59;5.7;8;3;3;144.2551536;91.19079618;78.67321635
Cathedral Mountain;Permian;276;21.2686;0.822269438;10.02265692;198.942;106;0;5;4;3;0;0;0
Cattle Creek;Permian;284.8;3.9363;0.899020375;12.37522806;35.996;40;0;8;3;2;456.9271407;314.7390633;202.1854982
Cayo Agua;Neogene;3.644;25.0862;0.828715022;9.748108442;233.716;25;0.8;3;2;1;109.9532558;54.97667544;81.50827809
Cercado;Neogene;7.521678161;18.1068;0.868850057;10.83324838;187.246;87;3.827;8;4;2;152.9858731;108.2912592;35.86098631
Chagres Sandstone;Neogene;6.508375;6.7267;0.920456466;19.07868973;107.526;40;1.5;4;3;1;246.1974502;111.3238716;165.0485727
Chambara;Triassic;212.1758621;2.7754;0.941100703;19.32893309;34.314;29;10.18;6;3;3;703.1780788;299.8104677;361.1925232
Chandalaz;Permian;262;4.149;0.954300448;19.09047046;60.112;29;0;6;1;2;274.2478743;124.0303278;115.0415928
Changxing;Permian;253.2917323;8.3894;0.932961773;16.27671565;117.644;254;3.35;36;5;3;1868.5487;607.9765722;401.6146027
Chari;Jurassic;162.648324;11.8225;0.883678205;8.970421616;96.606;179;4.5;6;4;3;151.0465299;106.8989185;36.58117294
