"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",262,24.0818,0.825127288758966,6.43456992375352,0.809103852934595,0.88318207701776,146.738,46,0,4,"Bell Canyon",4,2.17391304347826,0,4.34782608695652,0,91.304347826087,2.17391304347826,101,1,159,11,27
"2",262,11.5091,0.858776174609944,10.7014890608701,0.874097023753402,0.925430701120972,112.34,36,0,6,"Capitan",4,2.77777777777778,2.77777777777778,91.6666666666667,0,2.77777777777778,0,101,1,117,44,0
"3",262,4.149,0.954300447783427,19.0904704598484,0.938233336750968,0.958695868838764,60.112,29,0,6,"Chandalaz",1,100,0,0,0,0,0,628,0,73,9,0
"4",253.291732283465,8.3894,0.932961773354925,16.2767156453969,0.955714208357562,0.974118315684649,117.644,254,3.34999999999999,36,"Changxing",5,79.1338582677165,14.9606299212598,0.78740157480315,3.93700787401575,1.18110236220472,0,611,4,443,110,0
"5",254.867586206897,13.5399,0.8803359016187,11.5618415364317,0.901207227153394,0.941492880614966,142.864,145,3.34999999999999,13,"Chhidru",2,92.4137931034483,7.58620689655172,0,0,0,0,501,0,259,159,3
"6",253.399468085106,5.7879,0.942159583768478,17.4773801289402,0.934856154193623,0.954208074004134,82.046,94,3.34999999999999,22,"Dalong",4,22.3404255319149,0,0,64.8936170212766,2.12765957446809,10.6382978723404,611,1,159,56,0
"7",262,8.3163,0.812478428066747,7.01820899802392,0.780690584537239,0.861256381449597,50.512,57,0,9,"Flat Top",2,14.0350877192982,85.9649122807018,0,0,0,0,801,0,35,36,1
"8",256.5,7.4662,0.83425830566122,8.45075516666789,0.827508324480692,0.890788075457383,53.02,86,0,15,"Ford",3,37.2093023255814,2.32558139534884,60.4651162790698,0,0,0,315,0,30,50,2
"9",262,6.0801,0.791351373311841,5.92615601834241,0.657442815092625,0.773948700654847,29.742,131,0,1,"Gerster",1,100,0,0,0,0,0,101,0,45,4,0
"10",255.265789473684,9.4025,0.928513255992356,15.23065806609,0.958688048407804,0.974904844544374,126.606,38,3.34999999999999,12,"Heshan",3,76.3157894736842,5.26315789473684,0,18.4210526315789,0,0,611,1,80,114,0
"11",256.5,5.8054,0.89539492404724,11.4970016647106,0.84932131410703,0.905904408965846,55.258,74,0,7,"Julfa",2,59.4594594594595,0,0,40.5405405405405,0,0,512,0,93,0,24
"12",261.435897435897,3.3287,0.932139275389296,16.5120300622241,0.91638233272494,0.94450066988567,38.118,39,5.5,4,"Khachik",2,97.4358974358974,2.56410256410256,0,0,0,0,512,2,53,0,0
"13",255.974509803922,7.4533,0.931412946177528,15.8718333944419,0.952095009358861,0.970922402117764,100.706,153,3.34999999999999,30,"Longtan",3,59.4771241830065,30.0653594771242,0,10.4575163398693,0,0,611,3,226,130,0
"14",256.5,4.0481,0.891667797172617,10.4129685488854,0.853548406469483,0.905989884979956,31.432,51,0,1,"Naujoji Akmené",1,100,0,0,0,0,0,301,0,13,30,0
"15",254.116666666667,4.292,0.903142261042102,11.5076592972291,0.866164693158036,0.915110289890301,37.538,45,3.34999999999999,4,"Nesen",1,100,0,0,0,0,0,512,2,55,0,0
"16",260.975,3.2727,0.89488616468093,11.7768224813318,0.851788452950558,0.903335104427736,26.558,28,8.84999999999999,2,"Pamucak",2,3.57142857142857,96.4285714285714,0,0,0,0,715,0,30,1,0
"17",262,2.4836,0.638811142445593,8.59787188106149,0.225753182957393,0.270363859649123,13.512,30,0,6,"Peawaddy",3,40,50,0,10,0,0,801,0,16,3,0
"18",253.15,4.9911,0.901388914606104,14.0294460062895,0.898891742592225,0.935228461033428,54.594,135,0,8,"Senja",2,84.4444444444444,15.5555555555556,0,0,0,0,501,0,110,31,0
"19",256.971428571429,15.69,0.826226317838713,11.0054814425318,0.91561194433697,0.948718872823078,156.034,245,5.5,15,"Wargal",3,96.3265306122449,3.26530612244898,0.408163265306122,0,0,0,501,0,427,101,7
"20",256.5,4.5974,0.889899354579931,11.4238727714539,0.885310435150249,0.929012897897889,40.04,93,0,3,"Wegener Halvo",2,98.9247311827957,1.0752688172043,0,0,0,0,102,0,53,16,0
"21",253.15,4.6694,0.943648133934958,16.7040527644215,0.94184049663924,0.965341036869563,61.126,36,0,5,"Yanshi",1,100,0,0,0,0,0,611,0,31,58,0
