"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","deep subtidal","Plate","Echinodermata","Brachiopoda","Mollusca"
"1",24.0718285714286,17.8706,0.883885035095542,13.6908719936582,0.934866509841998,0.963818953411884,231.322,35,4.915,4,"Arcadia",2,5.71428571428571,0,94.2857142857143,0,109,3,0,328
"2",13.789,10.6998,0.82454372355117,7.9829171463623,0.816212885451342,0.886180652568092,76.756,34,0,1,"Astoria",1,0,0,100,0,129,0,0,95
"3",30.7063265306122,31.5768,0.811985666074197,5.30717530174215,0.663850498465804,0.765810018089841,162.588,49,5.435,6,"Byram",3,12.2448979591837,0,71.4285714285714,16.3265306122449,109,0,0,234
"4",15.0034827586207,15.0833,0.873916121054116,12.4714255601613,0.904181752505515,0.942495829908125,176.544,29,6.871,10,"Calvert",4,20.6896551724138,17.2413793103448,51.7241379310345,10.3448275862069,109,0,1,227
"5",15.6502777777778,11.2085,0.829342816798719,8.59327735742498,0.798590044799927,0.877655570341467,86.116,108,3.4,2,"Castilletes",3,6.48148148148148,78.7037037037037,14.8148148148148,0,203,2,0,155
"6",18.2,32.109,0.831643663177447,10.5227145377645,0.877179167519933,0.924200701448109,324.944,81,0,7,"Chipola",2,98.7654320987654,0,1.23456790123457,0,109,8,1,579
"7",13.3512962962963,21.4628,0.837532071655418,7.06824062610196,0.734141936860557,0.832741276383692,144.348,27,1.16,6,"Choptank",3,22.2222222222222,0,66.6666666666667,11.1111111111111,109,2,2,164
"8",20.5583333333333,12.7422,0.902588691960598,11.9050404871986,0.927242623003223,0.958727217351085,138.154,48,2.1,4,"Culebra",2,68.75,0,31.25,0,230,3,0,213
"9",17.916393442623,10.5379,0.857376411601302,8.84693972581032,0.829461030458444,0.898096009468115,83.372,61,2.4,2,"Jimol",4,3.27868852459016,39.344262295082,50.8196721311475,6.55737704918033,203,1,0,131
"10",19.5,9.6285,0.873809006446307,11.0494937082561,0.897850753216498,0.941390122574802,93.848,45,0,2,"Kirkwood",1,0,0,100,0,109,1,1,135
"11",17.319,6.5619,0.870954705919013,9.66193723016562,0.811040586486627,0.886623064664637,53.614,24,0,1,"Narrrow Cape Formaton",1,0,0,0,100,126,0,0,58
"12",13.7443846153846,10.9562,0.893639380841754,13.0021110838662,0.820425164178987,0.880621613974289,130.924,26,1.16,3,"Nyalindung",2,3.84615384615385,0,96.1538461538462,0,617,0,0,157
"13",19.5,34.8899,0.812128087081567,11.4371906071134,0.938990261538653,0.964602375832137,381.556,25,0,5,"Pirabas",2,20,0,80,0,201,15,0,414
"14",28.60234375,9.7469,0.76469872673141,5.30060172687663,0.733985028623027,0.83065378620064,45.854,32,5.435,1,"Pittsburg",2,0,0,62.5,37.5,129,0,0,52
"15",12.4,45.0342,0.830590907595326,8.95879005139489,0.821078562951659,0.895833389494169,398.356,37,0,5,"Shoal River",2,83.7837837837838,0,16.2162162162162,0,109,0,2,558
"16",31.15,12.1958,0.895857500334684,14.0981954032451,0.864905447791007,0.917980059588566,158.146,25,0,6,"Suwannee Limestone",2,96,0,4,0,109,10,0,176
"17",17.0321346153846,8.1228,0.90456201437014,11.7350352859457,0.864124741524401,0.919777900280264,83.278,52,11.926,3,"Temblor",2,1.92307692307692,0,98.0769230769231,0,105,6,0,129
"18",20.8322,13.6699,0.854916371561681,8.27447237750562,0.829057030457519,0.899781218439726,104.526,25,6.215,5,"Vaqueros",2,4,0,96,0,105,8,1,107
"19",31.15,4.2803,0.828220735997013,7.20774791997259,0.766757824251319,0.844010297129771,23.532,28,0,1,"Waita",2,0,0,78.5714285714286,21.4285714285714,610,1,0,25
