"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",394.096551724138,3.745,0.891484127712062,11.3402233459951,0.753234723632061,0.842904183185236,31.042,29,14.6,4,"Bird Fiord",1,0,100,0,0,0,0,0,106,9,28,0,0
"2",390,7.4021,0.889834975235117,12.8482327650328,0.888148128404572,0.930176734122792,81.598,41,0,3,"Denay Limestone",4,31.7073170731707,0,7.31707317073171,0,0,7.31707317073171,53.6585365853659,101,1,64,65,0
"3",397.486666666667,4.7022,0.928750515159912,13.6678427157521,0.907027760645659,0.943997407052871,50.522,30,8.60000000000002,2,"Ertang",1,100,0,0,0,0,0,0,611,0,24,40,0
"4",410.896774193548,5.7992,0.825623461395888,15.6064049361152,0.718199218013242,0.760975790226419,76.04,62,3.44999999999999,5,"Garra",2,9.67741935483871,90.3225806451613,0,0,0,0,0,801,14,114,30,6
"5",385.9,6.5715,0.849140609411319,9.17354101955203,0.840176207178927,0.898520926855158,50.024,203,0,7,"Geneseo",3,18.7192118226601,0,64.5320197044335,0,16.7487684729064,0,0,101,2,51,73,0
"6",419.251666666667,20.6886,0.752055423444258,5.46090695385696,0.596445977700224,0.716018533854009,108.288,30,4.75,3,"Henryhouse",2,90,0,10,0,0,0,0,101,7,76,3,49
"7",421.006382978723,19.1451,0.956039676896917,16.5107250283126,0.970565294088787,0.983090943780501,298.308,47,2.10000000000002,11,"Kopanina",4,91.4893617021277,2.12765957446809,4.25531914893617,2.12765957446809,0,0,0,305,89,150,295,12
"8",385.9,5.4672,0.893589866598528,12.201911069554,0.85309896548532,0.901688468465885,54.612,26,0,4,"Kowala",3,7.69230769230769,11.5384615384615,0,80.7692307692308,0,0,0,305,3,27,10,25
"9",385.9,9.8867,0.890867962163759,12.9203223146357,0.92276192494078,0.951281011427542,113.786,27,0,4,"Little Cedar",2,92.5925925925926,0,7.40740740740741,0,0,0,0,101,19,110,0,2
"10",386.089177489177,9.5931,0.885744665913799,11.5531236932125,0.874695866241486,0.910822614478218,97.632,231,1.90000000000003,15,"Ludlowville",4,11.6883116883117,23.8095238095238,39.8268398268398,0,24.6753246753247,0,0,101,11,105,100,39
"11",385.9,10.1453,0.898119602099693,11.5671455705278,0.881001177418751,0.930173266663294,105.95,54,0,2,"Mahantango",3,85.1851851851852,12.962962962963,1.85185185185185,0,0,0,0,101,8,101,68,0
"12",386.733333333333,9.4035,0.861795117729459,12.0024352293405,0.881224009365786,0.914586916209133,99.224,30,4.10000000000002,7,"Marcellus",4,23.3333333333333,20,53.3333333333333,0,3.33333333333333,0,0,101,2,50,62,5
"13",400.5,9.5219,0.911640557317289,10.7006801166368,0.901706674281816,0.939432459301498,90.974,29,0,3,"McColley Canyon",1,100,0,0,0,0,0,0,101,2,106,1,0
"14",385.9,9.2753,0.861779079933178,10.663980854906,0.837957232819157,0.895311209361022,86.874,288,0,18,"Moscow",3,12.5,0,77.4305555555556,0,10.0694444444444,0,0,101,7,111,125,13
"15",412.75,7.6116,0.857376641033176,12.1163295692319,0.84625038586909,0.906818409386107,80.998,27,10.2,4,"Mount Ida",2,96.2962962962963,3.7037037037037,0,0,0,0,0,801,15,51,30,2
"16",390,11.2167,0.860511600555188,8.58670631792476,0.805020469177851,0.876391603172751,86.91,66,0,6,"Onondaga",4,6.06060606060606,3.03030303030303,83.3333333333333,7.57575757575758,0,0,0,101,8,102,42,1
"17",420,9.3588,0.737169960301229,4.5909483590335,0.474141890268467,0.631144533542896,38.326,28,0,1,"Overton",1,0,0,100,0,0,0,0,315,2,19,21,0
"18",410.983720930233,4.3666,0.871520459782106,8.30422823990925,0.782561198665184,0.858525008182392,27.854,43,3.44999999999999,2,"Saint-Cenere",1,100,0,0,0,0,0,0,305,7,20,0,11
"19",385.9,19.328,0.833751090782015,6.80277726340172,0.797990611841138,0.866408420211255,124.13,27,0,1,"Silica",1,100,0,0,0,0,0,0,101,4,70,42,23
"20",386.070149253731,9.5933,0.891962852468656,9.82838300050807,0.885116210093371,0.928010482125557,83.468,134,1.90000000000003,8,"Skaneateles",4,2.98507462686567,54.4776119402985,35.0746268656716,0,7.46268656716418,0,0,101,9,69,71,2
"21",419.048214285714,4.0039,0.88676192885922,9.12336948766997,0.779525874009032,0.84959082867425,27.306,28,3.44999999999999,4,"Tonoloway",4,75,10.7142857142857,3.57142857142857,0,10.7142857142857,0,0,101,1,19,11,0
"22",385.9,8.512,0.88004138872875,11.2040504272119,0.879213025400484,0.923544364635743,82.77,76,0,7,"Tully",2,18.4210526315789,0,81.5789473684211,0,0,0,0,101,6,93,54,0
"23",397.168,3.6419,0.495871573887624,2.94153267286124,0.336441569074201,0.471125488721805,7.762,25,7.39999999999998,1,"upper part",1,0,100,0,0,0,0,0,305,0,8,0,0
"24",405.25641025641,7.9305,0.886326566458645,9.64141616503016,0.874243167246396,0.92014238322399,66.276,39,5.30000000000001,4,"Yujiang",4,84.6153846153846,5.12820512820513,5.12820512820513,5.12820512820513,0,0,0,611,0,75,15,0
