"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","basin","Plate","Echinodermata","Brachiopoda","Mollusca"
"1",91.8,4.6277,0.882018196020554,13.1540289771405,0.933309479263485,0.958356467425414,46.826,31,0,4,"Abu Qada",1,0,0,100,0,0,0,715,12,0,46
"2",68.3215,4.228,0.832645141153366,7.56943312302047,0.668003490832308,0.767140784102379,24.404,40,0,4,"Ciply-Malogne Phosphatic Chalk",1,100,0,0,0,0,0,315,0,34,0
"3",68.3215,14.8049,0.891863443055452,11.1955533143323,0.890904203695741,0.936496460227494,152.722,140,0,3,"Corsicana Marl",1,100,0,0,0,0,0,101,8,1,374
"4",91.7310344827586,3.1896,0.945021548187624,18.8309109533357,0.930930135682294,0.95410496702053,40.862,87,4.25,4,"Cotinguiba",2,1.14942528735632,0,98.8505747126437,0,0,0,201,8,1,87
"5",68.3215,7.5415,0.872742331118778,10.2974411502802,0.791598587986701,0.870535593148794,66.872,113,0,1,"Escondido",1,0,100,0,0,0,0,101,3,0,148
"6",68.406619047619,3.7194,0.887828019523681,11.7934872230528,0.797446566897504,0.86362535123925,32.164,84,7.15000000000001,7,"Guinea Corn",2,46.4285714285714,0,53.5714285714286,0,0,0,222,5,0,57
"7",82.7714285714286,3.6407,0.866886374107746,8.63122909440615,0.78048868473288,0.85264995741101,22.598,56,7.59999999999999,2,"Hinoshima",2,0,41.0714285714286,0,0,58.9285714285714,0,610,0,0,35
"8",68.3215,5.9793,0.827142938667162,6.67842867514935,0.70992145704817,0.793796203445677,33.066,33,0,5,"Jaguel",2,3.03030303030303,0,0,0,96.969696969697,0,291,0,0,42
"9",77.75,9.2263,0.836652315007102,5.16163645884838,0.696794091562126,0.804636872049694,42.25,43,0,1,"Jalama",1,0,0,0,0,100,0,105,0,0,48
"10",68.3215,7.1333,0.818700651825399,7.26452285028344,0.805144871255902,0.877429237560516,43.966,39,0,1,"Lefipán",1,0,0,100,0,0,0,291,0,0,57
"11",89.6115384615385,4.027,0.931715394153529,15.6646105184578,0.882474328687625,0.916607741663222,47.314,78,14.05,10,"Mancos Shale",4,83.3333333333333,0,1.28205128205128,0,1.28205128205128,14.1025641025641,101,1,4,120
"12",68.3215,6.3881,0.901816020977217,11.8651504563599,0.877215783083295,0.925781202588088,63.228,53,0,5,"Moreno",2,98.1132075471698,0,0,1.88679245283019,0,0,105,1,1,111
"13",73.5319868421053,20.6294,0.846322257710977,10.155995988051,0.91244190815444,0.950056136577054,196.06,38,9.4285,2,"Nacatoch Sand",1,100,0,0,0,0,0,101,3,1,257
"14",86.775,3.3989,0.921257954199968,14.1607525853026,0.885598154184996,0.924255576353471,33.71,38,14.05,7,"Niobrara",3,39.4736842105263,0,7.89473684210526,0,52.6315789473684,0,101,0,0,47
"15",85.8051724137931,2.5162,0.893663937638885,10.2493844882207,0.750924661654135,0.809291979949875,15.516,29,2.2,1,"Olazagutia",1,0,0,0,0,100,0,304,8,0,10
"16",68.3215,18.9897,0.843063251754108,8.80314375404581,0.793236905502564,0.871858046977743,157.02,32,0,5,"Peedee",3,93.75,3.125,3.125,0,0,0,109,5,0,193
"17",75.2058015873016,5.1386,0.936906520228667,17.5225709290424,0.931503048600789,0.955055639179196,72.438,63,9.4285,5,"Pierre Shale",3,4.76190476190476,0,1.58730158730159,0,93.6507936507936,0,101,1,1,160
"18",68.3215,28.6083,0.835664994576363,7.48345992225317,0.795818327262935,0.879519897788242,205.072,113,0,5,"Prairie Bluff",2,97.3451327433628,0,2.65486725663717,0,0,0,101,11,2,377
"19",68.3215,31.1458,0.847580848636711,7.20528280476189,0.786472132205326,0.874781562113819,216.016,103,0,3,"Providence",1,100,0,0,0,0,0,109,3,0,377
"20",68.5572125,31.0763,0.806789279329266,10.6114524683859,0.88830921025878,0.933068676969473,324.456,40,9.4285,5,"Ripley",2,95,0,5,0,0,0,101,10,1,506
"21",68.3215,9.3932,0.821265485751651,6.42531716049194,0.791271127277891,0.863484443664868,53.13,48,0,6,"Roca",3,6.25,0,91.6666666666667,0,2.08333333333333,0,291,0,0,65
"22",91.8,4.7274,0.903418789965289,12.3880573674213,0.879939816402163,0.925990425677694,46.078,26,0,4,"Wata",2,3.84615384615385,0,96.1538461538462,0,0,0,508,15,0,38
