"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Echinodermata","Brachiopoda","Mollusca"
"1",186.3,3.0102,0.89964077242089,10.6174593820322,0.85280116047695,0.903511294903926,21.256,24,0,2,"Almonacid de la Cuba",1,0,0,0,0,100,0,0,304,0,8,15
"2",186.3,2.4335,0.791024616539907,8.92911732768213,0.640437094542884,0.734381629832156,12.612,44,0,1,"Barre a Pecten",1,0,0,100,0,0,0,0,304,0,17,0
"3",197.408571428571,7.162,0.871131384862435,9.03549507176947,0.839037346420562,0.890827001209871,55.118,35,6,7,"Blue Lias",3,17.1428571428571,2.85714285714286,0,0,80,0,0,315,8,8,54
"4",193.959090909091,3.1263,0.816925348836299,6.66612047307648,0.633391865678182,0.741174949874687,14.056,66,6,2,"Calcaire a gryphees",2,15.1515151515152,0,0,0,84.8484848484848,0,0,315,0,11,8
"5",186.3,19.0661,0.771397251500268,6.46850627164245,0.756176646241264,0.849963881751267,116.35,27,0,3,"Cape Stewart",1,100,0,0,0,0,0,0,102,0,16,116
"6",212.175862068966,2.7754,0.941100702555359,19.3289330931005,0.848329691653376,0.892020760233918,34.314,29,10.18,6,"Chambara",3,17.2413793103448,0,51.7241379310345,31.0344827586207,0,0,0,201,12,10,22
"7",186.566,3.2692,0.891306782689242,11.7281569963737,0.792349199804324,0.8630627243637,26.552,25,6.85000000000002,2,"Cold Fish Volcanics",1,100,0,0,0,0,0,0,127,1,0,29
"8",186.3,2.1156,0.881846628061475,13.106077746265,0.782838446115288,0.839652255639098,14.422,33,0,1,"Escales",2,69.6969696969697,0,0,0,30.3030303030303,0,0,304,0,17,0
"9",186.3,2.9103,0.821676115702239,8.64599088159551,0.704111255160388,0.788730277587909,16.354,33,0,1,"Foix",3,3.03030303030303,0,90.9090909090909,0,6.06060606060606,0,0,304,0,20,0
"10",188.690625,16.2085,0.887426391260499,8.74252640537378,0.844664746583193,0.901339222377965,132.234,48,6.75,7,"Hierlatz",3,62.5,0,2.08333333333333,0,35.4166666666667,0,0,308,0,143,52
"11",187.540909090909,7.5326,0.862021501827149,13.186639317318,0.785461381826572,0.862146075040293,86.024,33,10.2,5,"Isztimér",3,84.8484848484848,0,0,0,0,3.03030303030303,12.1212121212121,308,0,71,48
"12",202.501724137931,2.6108,0.889328544210665,10.7773779102923,0.733892656641604,0.803661127819549,17.346,29,4.54999999999998,2,"Kendlbach",1,100,0,0,0,0,0,0,307,0,13,7
"13",203.6,4.6616,0.906576866254329,10.7901980103658,0.860332333576641,0.910127448010441,39.334,233,0,7,"Koessen",5,25.3218884120172,12.4463519313305,42.4892703862661,0,17.5965665236052,0,2.14592274678112,307,5,35,56
"14",214.795,3.3283,0.880565036857064,11.9171231416466,0.845383151105317,0.892608548728533,27.392,28,4.97999999999999,5,"Luning",4,10.7142857142857,0,17.8571428571429,10.7142857142857,0,0,60.7142857142857,101,2,15,14
"15",207.313376623377,6.8467,0.909649565655772,13.1896786664001,0.930479479428354,0.958202921196291,76.124,77,10.18,10,"Nayband",3,64.9350649350649,0,1.2987012987013,33.7662337662338,0,0,0,505,9,13,133
"16",186.3,2.6683,0.864718599419717,11.2437816990429,0.791918933989987,0.854111452115136,18.356,63,0,1,"Nevian",1,0,0,100,0,0,0,0,305,0,27,0
"17",186.3,7.449,0.846116083022733,7.85505044478584,0.831397723901521,0.892564451698288,50.426,25,0,2,"Piedra Pintada",2,92,0,8,0,0,0,0,291,0,1,55
"18",186.559615384615,5.1391,0.865912462336233,8.72985506093334,0.748017363654592,0.841594249976408,36.066,26,6.75,2,"Puchenque",1,100,0,0,0,0,0,0,291,0,1,40
"19",186.3,3.4521,0.828786822868843,7.18905416823974,0.660620855927698,0.752196321865269,17.508,37,0,2,"Rio Palomar",1,0,0,0,0,100,0,0,304,0,11,11
