"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",467.392519685039,5.647,0.956815860004714,18.62696349576,0.961382135587855,0.977109007343196,85.704,127,15.55,10,"Antelope Valley",5,3.1496062992126,2.36220472440945,15.748031496063,16.5354330708661,62.2047244094488,0,0,101,120,139,36,8
"2",481.240322580645,3.7436,0.875777451368229,7.93837415781647,0.769787137073453,0.825552664995823,21.714,31,11.15,3,"Boat Harbour",3,3.2258064516129,93.5483870967742,0,3.2258064516129,0,0,0,101,21,1,3,0
"3",462.513265306122,10.0934,0.879258959553036,9.48474569704322,0.833611375204998,0.897548647947528,86.094,49,2.89999999999998,8,"Crown Point",2,93.8775510204082,0,0,6.12244897959184,0,0,0,101,56,31,44,5
"4",473.05,6.7374,0.874062958145747,10.4696728439174,0.859136103090178,0.913833730948428,59.318,42,1.05000000000001,10,"Dawan",2,0,0,57.1428571428571,0,42.8571428571429,0,0,611,36,43,4,2
"5",462.638461538462,7.3323,0.898695807078615,10.6621628079887,0.860267982299949,0.914870687628973,67.838,39,2.89999999999998,6,"Day Point",3,94.8717948717949,0,0,2.56410256410256,2.56410256410256,0,0,101,44,30,19,5
"6",481.156818181818,8.1676,0.921142433441312,12.3469676175049,0.878361018978775,0.928137251739241,88.44,22,11.15,3,"Deadwood",2,0,81.8181818181818,0,0,18.1818181818182,0,0,101,44,26,23,0
"7",475.217391304348,4.0973,0.902673824468809,10.1593189764429,0.839995755355755,0.889257659679502,31.432,23,3.05000000000001,2,"Emanuel",1,100,0,0,0,0,0,0,801,27,0,6,0
"8",479.512962962963,3.9143,0.961303611837487,20.3451698366924,0.966787939939111,0.977568039260981,58.642,81,18.8,9,"Fillmore",3,0,0,1.23456790123457,1.23456790123457,97.5308641975309,0,0,101,117,19,5,0
"9",462.2,5.2179,0.700269257282809,3.77671670800974,0.464914486027705,0.612586633980055,15.874,37,0,1,"Flags and Grits",2,0,0,21.6216216216216,0,78.3783783783784,0,0,315,3,16,0,0
"10",477.891935483871,4.497,0.957564467970992,19.3570787566321,0.957585145830563,0.972267182108126,67.244,62,18.8,7,"Garden City",3,4.83870967741935,0,0,0,93.5483870967742,1.61290322580645,0,101,111,28,0,2
"11",482.289130434783,3.8767,0.930101010184069,15.5348446624134,0.94066016226858,0.963345365671661,44.416,23,8.25,4,"Goodwin",1,0,0,100,0,0,0,0,101,43,4,1,0
"12",472.764583333333,4.378,0.909411199576982,11.0539443023599,0.83469845937688,0.894757466948256,37.334,24,11.15,9,"Honghuayuan",3,0,0,33.3333333333333,4.16666666666667,62.5,0,0,611,14,22,4,1
"13",483.45,3.1955,0.93138648884988,16.4877886618696,0.914499131745448,0.941520277675541,35.838,51,0,5,"House",2,1.96078431372549,0,0,0,98.0392156862745,0,0,101,40,14,1,0
"14",458.35,2.9599,0.922223312897359,18.1445692364344,0.934593782414696,0.950985075699155,35.06,35,0,8,"Kahula",2,65.7142857142857,0,0,0,34.2857142857143,0,0,301,5,36,2,4
"15",469.305319148936,3.0476,0.923102884895676,14.9674498332084,0.883414099411714,0.921258743654007,30.372,47,8.70000000000005,3,"Kanosh",2,0,0,63.8297872340426,0,0,0,36.1702127659575,101,27,13,9,0
"16",475.821111111111,2.6008,0.924142837708312,17.3851120179892,0.909548045229624,0.937759267574531,27.206,135,5.89999999999998,2,"Kindblade",2,0,0,0,51.1111111111111,48.8888888888889,0,0,101,57,2,3,0
"17",463.45,4.207,0.738307452705679,5.19284989229245,0.54729450164043,0.676798730538467,16.582,30,0,1,"Meadowtown Beds",1,0,0,100,0,0,0,0,315,0,19,0,0
"18",472.609722222222,2.8791,0.883779228079015,10.8503945639371,0.732620779220779,0.817581783625731,20.338,36,11.15,3,"Meitan",4,8.33333333333333,2.77777777777778,38.8888888888889,0,50,0,0,611,10,16,0,1
"19",464.244827586207,4.9187,0.839878123812075,9.59703739813417,0.83718195059608,0.894169397288841,37.046,29,2.89999999999998,3,"Mingan",2,82.7586206896552,17.2413793103448,0,0,0,0,0,101,35,2,7,0
"20",475.936734693878,4.6078,0.944917489766417,17.1201947710296,0.92357647923086,0.953112172048345,61.59,49,7.75,7,"Ninemile",4,4.08163265306122,0,65.3061224489796,0,22.4489795918367,8.16326530612245,0,101,63,39,5,3
"21",470.071428571429,3.6093,0.888783587943967,11.13929203952,0.822921141452287,0.87693625091283,28.998,28,7.80000000000001,3,"Nora",2,14.2857142857143,0,0,0,85.7142857142857,0,0,801,22,0,12,0
"22",483.45,3.1378,0.87790656974991,9.42779832355942,0.75068492215387,0.828226804511278,20.076,36,0,1,"Outram",2,0,0,0,0,55.5555555555556,44.4444444444444,0,101,27,0,0,0
"23",462.2,3.3374,0.743875031577449,5.4028872938124,0.507974126808864,0.640999661654135,12.576,29,0,1,"Rorrington Beds",1,0,0,100,0,0,0,0,315,0,14,0,0
"24",473.430434782609,10.0901,0.855614068926273,7.31117368174608,0.770461299672449,0.862342052583536,66.372,23,1.84999999999997,3,"Smithville",1,100,0,0,0,0,0,0,101,4,5,61,0
"25",465.417307692308,3.5022,0.926771898939378,14.0269707802613,0.893619567859042,0.921411979949875,35.056,26,5.25,5,"Sunblood",2,34.6153846153846,0,0,0,65.3846153846154,0,0,101,36,6,0,0
