"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",266.5,7.5842,0.880052762042944,11.9129761021741,0.876878737153644,0.926191015260511,77.516,99,0,9,"Amb",2,93.9393939393939,0,6.06060606060606,0,0,0,501,0,179,36,1
"2",266.5,8.1324,0.867094798106116,9.14185053350574,0.78752921436585,0.866925591195536,65.238,26,0,1,"Antimonio",1,100,0,0,0,0,0,104,0,59,16,0
"3",267.464285714286,3.2055,0.899501448723802,13.2382246801201,0.88694767957189,0.928597978658768,28.862,28,2.25,8,"Barfield",2,67.8571428571429,0,32.1428571428571,0,0,0,801,0,23,9,1
"4",266.772727272727,3.9335,0.917372590750401,15.7284621285812,0.894953913890708,0.922825754797746,45.186,55,3.75,11,"Blenheim",2,61.8181818181818,0,38.1818181818182,0,0,0,801,0,46,37,0
"5",276,13.7837,0.895984111697989,13.5560257222014,0.954257829926105,0.973405675229583,168.108,79,0,11,"Bone Spring",3,46.8354430379747,0,46.8354430379747,0,0,6.32911392405063,101,7,236,94,0
"6",276,21.2686,0.822269437785936,10.0226569223889,0.896431534562758,0.939351394202404,198.942,106,0,5,"Cathedral Mountain",4,75.4716981132076,0,9.43396226415094,11.3207547169811,0,3.77358490566038,101,3,285,111,0
"7",276,6.5686,0.857412056217942,8.2127719214008,0.818925073946435,0.890599667824048,45.078,48,0,1,"Coyote Butte",1,100,0,0,0,0,0,101,0,63,0,0
"8",266.5,6.0854,0.892412763212842,12.0761458178429,0.899669510211966,0.938453149163482,60.786,29,0,5,"Gnishik",2,96.551724137931,0,3.44827586206897,0,0,0,512,4,64,7,1
"9",270.25,4.3429,0.791935536762632,6.05596719681603,0.640582439140893,0.755856653755601,20.12,29,0,2,"Gymnocodiacean limestone",1,0,0,100,0,0,0,504,0,21,1,0
"10",266.5,3.79,0.868654424633348,9.82694441309962,0.70921666754642,0.797608400926559,27.246,35,0,7,"Ingelara",4,8.57142857142857,60,14.2857142857143,0,17.1428571428571,0,801,0,23,12,0
"11",274.630952380952,4.6472,0.909828865817737,15.3634674333065,0.846397959635945,0.896420313427667,55.92,84,5.75,10,"Kaibab",3,1.19047619047619,34.5238095238095,64.2857142857143,0,0,0,101,8,28,89,1
"12",270.25,2.3428,0.925950053530107,22.0104105076706,0.836429864054075,0.864562841778105,29.006,51,0,10,"Kazan",2,90.1960784313726,0,9.80392156862745,0,0,0,301,0,38,20,0
"13",266.5,3.3127,0.870938845376658,10.4780446685888,0.812277653272294,0.874829671507226,23.938,79,0,4,"Khuff",3,16.4556962025316,0,58.2278481012658,0,25.3164556962025,0,503,0,32,10,0
"14",276,8.1854,0.825105984772171,7.17872494505035,0.793900795605597,0.86008115582435,51.094,45,0,5,"Loray",3,2.22222222222222,48.8888888888889,48.8888888888889,0,0,0,101,1,9,52,1
"15",267.475,4.6588,0.926089872900492,15.9812617418484,0.885317372900993,0.925243256532391,58.134,30,3.75,9,"Maokou",2,83.3333333333333,0,16.6666666666667,0,0,0,611,0,77,2,0
"16",270.25,3.9741,0.846682050786154,7.32985259159813,0.723951574239389,0.798922590742591,21.702,25,0,7,"Oxtrack",3,24,0,60,0,16,0,801,0,18,5,0
"17",269,6.6984,0.937251260891218,16.6607212964658,0.961483019721588,0.97615234358116,93.524,38,9.5,7,"Park City",2,68.4210526315789,0,31.5789473684211,0,0,0,101,1,28,110,0
"18",270.101351351351,7.036,0.900097241115791,14.2107789084786,0.910310717815506,0.94519635849091,84.708,37,9.5,6,"Phosphoria",2,35.1351351351351,0,0,0,64.8648648648649,0,101,0,45,80,0
"19",276,4.6313,0.97219800465889,21.795041328413,0.984322738129312,0.990656897768898,78.35,34,0,16,"Qixia",2,67.6470588235294,0,32.3529411764706,0,0,0,611,0,117,3,0
"20",270.201612903226,17.424,0.855589692756543,6.94956579539679,0.81920684846344,0.880821083944468,113.538,31,1.5,5,"Rat Buri",3,9.67741935483871,0,16.1290322580645,0,74.1935483870968,0,616,0,129,0,4
"21",271.446666666667,31.3146,0.83737745046905,9.39642682660232,0.890991012557802,0.936753537814393,280,75,5.75,4,"Road Canyon",4,21.3333333333333,0,6.66666666666667,13.3333333333333,0,58.6666666666667,101,9,336,144,1
"22",276,11.7006,0.884525676895101,12.2837771063897,0.91687252033794,0.952280830289281,130.08,69,0,2,"Skinner Ranch",3,31.8840579710145,0,0,10.1449275362319,0,57.9710144927536,101,3,222,37,0
"23",267.809523809524,5.9711,0.903051271094651,11.124937084233,0.853709279324307,0.91056279293758,54.816,63,3.75,3,"Takhandit",1,100,0,0,0,0,0,101,0,106,0,0
"24",276,3.3095,0.956628595910411,22.4567101466769,0.95575718128655,0.967985756699842,51.58,25,0,5,"Talata",1,100,0,0,0,0,0,301,0,49,12,0
"25",276,2.1583,0.948574351770541,25.7247175753205,0.954574575833523,0.966246904761905,29.226,38,0,20,"Wandagee",2,71.0526315789474,0,28.9473684210526,0,0,0,801,0,22,9,11
"26",268.618131868132,22.8532,0.84116263528326,9.60293051383833,0.891417096208823,0.934900642475455,205.806,91,3.75,8,"Word",3,81.3186813186813,0,17.5824175824176,0,1.0989010989011,0,101,6,280,88,3
